traffic_load,rainfall,road_age,soil_moisture,damage_risk
1,164,3,2,50.49999999999999
6,92,21,1,33.800000000000004
1,99,24,5,35.8
8,107,15,7,38.9
9,208,28,5,71.69999999999999
4,201,9,3,63.9
5,148,23,8,52.1
4,234,21,1,75.80000000000001
9,74,21,9,30.9
7,127,13,6,44.00000000000001
3,203,15,8,66.39999999999999
6,203,19,6,67.7
5,112,9,7,38.3
5,165,15,1,54.2
9,21,6,9,12.0
1,145,9,9,47.39999999999999
9,281,11,4,90.0
6,279,11,1,87.9
9,73,6,9,27.599999999999998
3,259,8,9,82.0
3,18,13,7,10.299999999999999
7,213,19,1,70.0
7,50,4,5,18.900000000000002
5,14,8,1,7.500000000000001
6,119,23,5,43.099999999999994
6,97,2,9,33.099999999999994
1,20,14,1,9.299999999999999
9,42,8,1,17.099999999999998
7,235,23,1,77.39999999999999
1,114,23,9,40.89999999999999
9,237,7,7,76.60000000000001
1,60,1,7,19.9
2,279,27,5,90.7
5,148,13,8,50.1
3,244,20,2,78.50000000000001
3,112,29,4,41.099999999999994
6,144,21,1,49.4
3,203,9,9,65.39999999999999
8,268,10,4,85.6
5,93,9,7,32.6
5,154,5,5,49.699999999999996
1,124,25,7,43.89999999999999
9,195,5,1,62.400000000000006
1,58,25,4,23.5
6,286,29,3,93.99999999999999
7,254,12,7,82.10000000000001
1,262,13,3,82.09999999999998
6,180,11,1,58.2
3,298,11,5,93.5
3,288,23,3,92.49999999999999
8,183,26,4,63.3
8,149,22,7,52.89999999999999
7,265,9,1,83.6
2,109,2,5,34.699999999999996
3,281,25,1,90.4
7,82,11,8,30.5
4,126,12,4,42.199999999999996
6,62,17,1,23.999999999999996
8,5,14,4,7.5
8,177,2,9,57.699999999999996
5,44,8,7,17.7
3,99,11,9,34.599999999999994
8,160,19,8,55.8
7,70,18,6,27.900000000000002
1,27,3,3,9.6
9,290,13,8,93.89999999999999
9,169,28,3,59.6
3,63,2,7,21.599999999999994
5,288,6,1,89.3
6,219,3,8,69.69999999999999
5,4,12,5,6.1000000000000005
1,61,1,9,20.6
6,120,11,4,40.8
8,282,25,4,92.8
4,278,20,3,89.19999999999999
9,218,13,6,71.89999999999999
1,132,3,8,42.1
5,260,5,1,80.7
6,234,14,5,75.8
3,263,10,3,82.39999999999999
6,261,22,3,85.1
2,68,18,5,25.6
9,13,1,4,7.6
3,113,18,6,39.6
2,163,4,1,50.5
7,239,11,4,76.8
7,250,26,1,82.5
9,55,2,3,20.2
2,295,23,3,94.29999999999998
8,190,13,2,62.4
5,73,24,7,29.599999999999998
9,215,27,5,73.60000000000001
3,213,28,4,71.19999999999999
9,22,29,4,15.9
2,196,8,7,62.4
6,86,11,1,30.0
5,3,14,3,5.800000000000001
1,102,23,5,36.5
6,208,29,9,71.8
7,40,17,8,19.1
7,166,3,2,52.9
4,145,3,5,46.300000000000004
4,189,12,5,61.3
4,168,3,6,53.400000000000006
5,214,16,3,69.5
4,287,6,2,88.9
4,235,15,5,75.7
6,246,11,7,79.2
1,78,18,9,29.1
3,218,6,3,68.1
2,169,8,1,53.1
7,251,2,5,78.8
8,37,11,8,17.3
1,9,15,6,7.2
1,287,29,6,93.39999999999999
2,284,23,1,90.6
2,15,25,1,10.299999999999999
4,112,24,9,41.400000000000006
5,134,5,2,43.099999999999994
4,256,14,5,81.8
5,167,20,6,56.800000000000004
8,294,4,3,92.0
4,47,24,8,21.700000000000003
3,31,5,9,13.0
9,131,2,3,43.0
7,182,23,6,62.50000000000001
7,59,5,2,21.2
8,255,22,7,84.70000000000002
2,260,24,3,83.99999999999999
7,44,7,2,17.099999999999998
9,71,7,7,26.799999999999997
8,180,1,1,56.800000000000004
6,118,5,5,39.199999999999996
2,263,13,5,83.09999999999998
9,140,15,9,49.5
2,293,12,9,92.69999999999999
2,256,27,8,84.39999999999999
1,299,4,8,92.39999999999999
5,111,21,4,39.8
3,57,20,1,22.199999999999996
2,113,25,3,40.1
2,206,20,1,66.60000000000001
5,100,29,4,38.099999999999994
3,99,1,1,30.999999999999996
2,55,14,7,21.3
1,225,12,7,71.60000000000001
9,159,26,7,57.0
3,156,17,7,52.49999999999999
7,75,2,4,25.8
5,212,22,2,69.9
9,125,16,9,45.2
7,51,17,8,22.4
6,102,17,4,36.599999999999994
2,168,14,8,55.4
1,34,29,4,17.1
9,292,10,7,93.7
7,201,29,5,69.2
8,73,18,9,29.7
2,229,8,7,72.3
3,135,28,7,48.4
3,236,16,3,75.5
3,56,19,4,22.3
6,209,10,8,68.1
9,64,11,4,24.9
1,144,20,8,49.099999999999994
3,140,20,3,47.5
9,223,8,7,72.6
6,213,9,7,68.9
1,250,23,3,80.49999999999999
3,69,4,9,24.2
1,69,11,3,23.8
8,257,6,5,81.7
1,46,14,9,18.7
4,245,11,8,78.5
9,272,18,1,88.1
6,263,20,7,86.1
7,133,2,1,42.6
1,287,16,8,91.19999999999999
3,241,2,2,74.00000000000001
2,258,12,1,80.6
9,101,1,5,34.2
5,34,4,5,13.5
5,168,3,5,53.5
8,8,5,9,7.6
4,58,20,5,23.599999999999998
8,5,20,7,9.3
5,128,11,2,42.5
8,94,24,8,37.0
4,60,26,9,26.2
5,181,9,5,58.599999999999994
7,247,15,5,80.19999999999999
3,296,5,2,91.10000000000001
1,45,6,6,16.2
1,87,20,1,30.599999999999998
5,115,22,9,42.199999999999996
8,192,27,4,66.19999999999999
3,140,7,6,45.5
2,21,20,6,12.099999999999998
9,92,4,7,32.5
9,56,15,7,23.9
3,220,26,9,73.9
9,258,18,3,84.29999999999998
6,68,10,9,26.0
5,8,3,3,5.1
5,266,10,7,84.7
4,149,24,4,51.5
5,242,27,2,79.9
7,75,6,2,26.2
7,148,6,9,49.5
3,230,28,4,76.3
6,149,29,3,52.9
5,173,12,4,56.599999999999994
3,60,26,2,24.499999999999996
4,90,10,3,30.8
9,294,24,6,96.9
3,107,4,6,35.0
6,247,13,1,78.69999999999999
1,248,23,6,80.49999999999999
9,136,12,7,47.3
1,142,25,5,48.9
5,15,23,9,12.400000000000002
2,150,7,9,48.8
2,223,8,5,70.09999999999998
1,110,10,5,36.3
6,75,13,2,27.3
4,205,28,2,68.7
9,238,10,7,77.5
6,299,6,7,94.10000000000001
7,113,25,9,42.8
3,163,17,9,54.99999999999999
4,222,18,4,72.19999999999999
8,79,3,5,27.7
8,205,5,4,65.7
7,165,27,8,58.6
5,47,15,9,20.400000000000002
1,55,1,3,17.6
9,243,15,6,79.8
6,221,17,4,72.3
4,141,19,6,48.5
5,199,5,4,62.99999999999999
6,195,9,6,63.3
6,22,12,9,12.6
6,249,28,7,83.5
9,20,1,9,10.7
7,80,11,9,30.1
9,179,27,6,63.0
8,239,4,9,76.7
1,79,20,4,28.8
6,84,14,9,31.6
5,141,1,2,44.4
1,194,12,2,61.29999999999999
5,115,29,2,42.199999999999996
3,239,28,2,78.60000000000001
3,286,12,7,90.50000000000001
1,1,5,8,3.2
7,22,10,3,11.299999999999999
7,207,17,9,69.39999999999999
5,142,16,2,47.7
1,80,15,8,28.900000000000002
7,142,2,3,45.7
3,258,19,4,82.89999999999999
4,158,28,5,55.2
7,103,6,7,35.6
3,161,3,5,50.8
2,131,19,7,45.099999999999994
1,111,10,3,36.199999999999996
1,121,7,3,38.599999999999994
3,148,28,5,51.9
6,61,18,7,25.1
2,131,13,2,42.9
6,47,27,6,22.499999999999996
3,162,3,3,50.7
8,92,14,7,34.199999999999996
9,281,29,3,93.39999999999999
2,162,21,1,53.60000000000001
1,192,1,3,58.699999999999996
8,147,26,4,52.5
1,265,11,1,82.2
7,216,8,9,70.29999999999998
7,50,23,2,22.1
8,1,17,3,6.699999999999999
9,154,19,8,54.3
9,130,3,6,43.50000000000001
9,68,10,9,26.9
9,221,7,5,71.4
7,81,25,3,32.0
4,190,27,1,63.800000000000004
4,198,26,3,66.39999999999999
2,296,19,4,93.99999999999999
9,207,11,6,68.2
6,37,4,2,14.1
4,117,9,1,38.300000000000004
1,284,6,5,87.7
5,295,21,8,95.8
2,90,15,4,31.400000000000002
2,192,15,1,61.4
8,114,14,2,39.79999999999999
3,4,25,1,7.3
9,231,21,9,78.0
3,193,3,7,60.8
2,268,4,6,82.99999999999999
7,246,1,8,77.69999999999999
9,228,21,4,76.1
6,142,18,5,49.0
1,186,12,4,59.29999999999999
8,227,28,9,77.89999999999999
3,161,17,3,53.199999999999996
3,216,29,3,72.1
8,83,7,7,30.099999999999994
6,199,22,4,66.69999999999999
3,168,9,4,53.89999999999999
3,72,23,8,28.7
8,232,24,8,78.39999999999999
7,112,2,4,36.9
6,55,4,3,19.700000000000003
8,241,12,3,77.7
5,255,22,3,83.0
7,77,29,8,32.6
5,262,20,7,85.5
5,93,2,2,30.199999999999996
6,242,12,7,78.2
2,136,4,3,42.8
6,40,18,1,17.6
8,90,23,9,35.8
